state,district,population,households,literacy_rate_pct,sc_population,st_population,sub_centres,phcs,chcs,sub_divisional_hospitals,district_hospitals,institutional_delivery_pct_hmis,csection_rate_pct,institutional_births_pct,skilled_birth_attendance_pct,child_immunization_pct,sanitation_pct,drinking_water_pct,electricity_pct,health_insurance_pct,women_anaemia_pct,sub_centres_per_lakh,phcs_per_lakh,chcs_per_lakh,district_hospitals_per_lakh,sc_population_pct,st_population_pct
Andaman And Nicobar Islands,Nicobars,36842.0,9288.0,68.7584821670919,0.0,23681.0,41.0,4.0,1.0,0.0,1.0,95.8,0.0,97.8,98.6,64.2,83.5,98.8,97.9,2.7,38.3,111.28603224580642,10.857173877639651,2.714293469409913,2.714293469409913,0.0,64.27718364909613
Andaman And Nicobar Islands,North And Middle Andaman,105597.0,26199.0,74.51253350000474,0.0,758.0,44.0,8.0,2.0,0.0,1.0,93.3,1.8,97.7,98.3,0.0,86.4,92.2,93.2,2.1,62.1,41.66785041241702,7.575972802257641,1.8939932005644102,0.9469966002822051,0.0,0.7178234230139113
Andaman And Nicobar Islands,South Andamans,238142.0,59064.0,79.89602842001831,0.0,4091.0,39.0,15.0,1.0,0.0,1.0,99.3,36.3,99.5,96.9,76.3,89.3,97.9,99.6,1.2,57.7,16.376783599701017,6.298762922961931,0.419917528197462,0.419917528197462,0.0,1.7178826078558171
Andhra Pradesh,Anantapur,4081148.0,968160.0,56.62524368143473,583135.0,154127.0,586.0,108.0,15.0,2.0,1.0,99.8,28.9,94.7,98.3,81.8,71.3,98.8,99.6,73.2,50.5,14.358704952626075,2.6463142233508807,0.36754364213206675,0.024502909475471117,14.288504116978851,3.776559928725937
Andhra Pradesh,Chittoor,4174064.0,1039953.0,63.915598802509976,785760.0,159165.0,644.0,120.0,15.0,4.0,2.0,100.0,32.1,97.1,97.6,66.6,74.6,98.5,99.7,70.7,51.8,15.428608665319938,2.874896024593777,0.3593620030742221,0.047914933743229624,18.82481916904005,3.8131902146205707
Andhra Pradesh,East Godavari,5285824.0,1465351.0,63.3406825501568,957302.0,297044.0,840.0,144.0,26.0,3.0,1.0,100.0,52.0,96.6,89.9,59.0,77.7,97.9,98.8,66.4,63.0,15.891562034604256,2.7242677773607293,0.491881682023465,0.018918526231671732,18.110742998631814,5.619634705960698
Andhra Pradesh,Guntur,4887813.0,1296609.0,60.56780404651324,957407.0,247089.0,680.0,119.0,18.0,2.0,1.0,100.0,12.3,98.6,95.5,76.2,83.4,99.3,99.2,71.1,59.5,13.912152531203628,2.434626692960635,0.36826286112009604,0.020459047840005337,19.58763561535599,5.0552056717390785
Andhra Pradesh,Krishna,4517398.0,1243293.0,66.62503503122815,871063.0,132464.0,593.0,125.0,12.0,2.0,1.0,100.0,41.1,98.9,98.0,90.0,79.1,94.4,99.6,68.1,60.3,13.127025778999327,2.767079633009976,0.26563964476895774,0.022136637064079808,19.282405490948552,2.932307492056268
Andhra Pradesh,Kurnool,4053463.0,887652.0,52.47762222080231,737945.0,82831.0,542.0,113.0,19.0,1.0,1.0,99.7,21.3,88.5,90.6,67.0,73.5,97.9,99.9,73.3,58.6,13.371282777220367,2.7877397672064603,0.468735005105511,0.024670263426605842,18.20529754434665,2.0434625898891885
Andhra Pradesh,Prakasam,3397448.0,860463.0,56.054868242280676,787861.0,151145.0,534.0,100.0,15.0,2.0,1.0,100.0,46.2,97.4,97.9,51.9,78.4,98.6,99.3,67.6,60.4,15.717679858529108,2.9433857412975857,0.44150786119463786,0.029433857412975856,23.18978833524457,4.448780378684236
Andhra Pradesh,Spsr Nellore,2963557.0,776854.0,61.82398381404508,666588.0,285997.0,477.0,89.0,14.0,2.0,1.0,99.9,30.6,97.0,100.0,65.3,81.8,95.6,99.1,72.3,59.4,16.09552304882275,3.003147906384119,0.47240528864469283,0.033743234903192344,22.49283546764918,9.650463952608302
Andhra Pradesh,Srikakulam,2703114.0,681330.0,55.32067829917643,255664.0,166118.0,465.0,89.0,15.0,2.0,1.0,100.0,58.1,97.9,96.4,82.8,71.6,87.7,99.9,75.6,62.6,17.202382141485707,3.292498947510168,0.5549155529511519,0.03699437019674346,9.45812866198022,6.14543078834263
Andhra Pradesh,Visakhapatanam,4290589.0,1097042.0,59.857725827386396,329486.0,618500.0,583.0,114.0,12.0,3.0,1.0,97.6,29.4,95.3,94.4,76.5,77.8,91.8,99.6,64.9,58.0,13.587878027935092,2.6569778648106355,0.2796818805063827,0.02330682337553189,7.679272006710501,14.415270257766474
Andhra Pradesh,Vizianagaram,2344474.0,587149.0,52.82157106455435,247728.0,235556.0,431.0,76.0,11.0,1.0,1.0,99.9,29.1,99.0,97.6,76.8,61.7,93.1,99.5,76.7,64.0,18.38365449990062,3.2416652946460487,0.46918839790929645,0.04265349071902695,10.56646394884311,10.047285659811113
Andhra Pradesh,West Godavari,3995742.0,1108916.0,67.07988153389283,823545.0,134211.0,635.0,113.0,14.0,3.0,1.0,100.0,57.7,98.7,98.5,80.0,80.8,99.1,99.3,67.6,63.0,15.891916945588578,2.8280104170889913,0.3503729720287246,0.025026640859194614,20.610564946385427,3.358850496353368
