Country,State,District,Year,"Functional Sub Centres (UOM:Number), Scaling Factor:1","Functional Primary Health Centres (Phcs) (UOM:Number), Scaling Factor:1","Functional Community Health Centres (Chcs) (UOM:Number), Scaling Factor:1","Functional Health And Wellness Centres-Sub Centres  (Hwc-Scs) (UOM:Number), Scaling Factor:1","Functional Health And Wellness Centres (Hwc)-Primary Health Centres (Phcs) (UOM:Number), Scaling Factor:1","Functional Sub Divisional Hospitals (Sdhs) (UOM:Number), Scaling Factor:1","Functional District Hospitals (Dhs) (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,Nicobars,"Financial Year (Apr - Mar), 2021",41,4,1,,,0,1
India,Andaman and Nicobar Islands,North and Middle Andaman,"Financial Year (Apr - Mar), 2021",44,8,2,,,0,1
India,Andaman and Nicobar Islands,South Andamans,"Financial Year (Apr - Mar), 2021",39,15,1,,,0,0
India,Andhra Pradesh,Ananthapuramu,"Financial Year (Apr - Mar), 2021",910,129,15,,,6,1
India,Andhra Pradesh,Chittoor,"Financial Year (Apr - Mar), 2021",1070,136,17,,,5,2
India,Andhra Pradesh,East Godavari,"Financial Year (Apr - Mar), 2021",1288,163,25,,,4,1
India,Andhra Pradesh,Guntur,"Financial Year (Apr - Mar), 2021",885,163,17,,,3,1
India,Andhra Pradesh,Krishna,"Financial Year (Apr - Mar), 2021",855,152,13,,,2,1
India,Andhra Pradesh,Kurnool,"Financial Year (Apr - Mar), 2021",926,131,17,,,4,1
India,Andhra Pradesh,Prakasam,"Financial Year (Apr - Mar), 2021",911,115,13,,,4,1
India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Financial Year (Apr - Mar), 2021",683,112,14,,,2,1
India,Andhra Pradesh,Srikakulam,"Financial Year (Apr - Mar), 2021",850,99,13,,,4,2
India,Andhra Pradesh,Visakhapatnam,"Financial Year (Apr - Mar), 2021",808,163,10,,,4,2
India,Andhra Pradesh,Vizianagaram,"Financial Year (Apr - Mar), 2021",673,88,8,,,3,2
India,Andhra Pradesh,West Godavari,"Financial Year (Apr - Mar), 2021",940,128,10,,,6,1
India,Andhra Pradesh,Y.S.R.,"Financial Year (Apr - Mar), 2021",681,110,9,,,4,1
